evaluation_sample,model,selection_rule,threshold,precision_failed,recall_failed,f1_failed,predicted_failed_share,n_predicted_failed
Internal validation,Gradient Boosting,maximize_f1,0.68,0.212,0.22,0.216,0.068,864
Internal validation,Gradient Boosting,recall_at_least_0.6,0.48,0.109,0.613,0.185,0.37,4686
Internal validation,Gradient Boosting,recall_at_least_0.8,0.37,0.09,0.823,0.162,0.599,7585
Internal validation,Logistic Regression,maximize_f1,0.53,0.19,0.32,0.239,0.11,1397
Internal validation,Logistic Regression,recall_at_least_0.6,0.52,0.088,0.682,0.156,0.507,6419
Internal validation,Logistic Regression,recall_at_least_0.8,0.5,0.082,0.846,0.149,0.678,8591
Internal validation,Random Forest,maximize_f1,0.57,0.187,0.265,0.219,0.093,1176
Internal validation,Random Forest,recall_at_least_0.6,0.37,0.115,0.616,0.194,0.351,4445
Internal validation,Random Forest,recall_at_least_0.8,0.27,0.1,0.812,0.178,0.532,6742
