year,n_observations,n_failed,n_alive,failure_rate
1999,5308,380,4928,0.07159005275056518
2000,5226,404,4822,0.07730577879831611
2001,4897,414,4483,0.08454155605472738
2002,4651,414,4237,0.08901311545904107
2003,4417,415,4002,0.09395517319447588
2004,4348,404,3944,0.09291628334866606
2005,4205,379,3826,0.0901307966706302
2006,4128,366,3762,0.08866279069767442
2007,4009,336,3673,0.0838114242953355
2008,3857,284,3573,0.07363235675395385
2009,3743,234,3509,0.06251669783596046
2010,3625,218,3407,0.060137931034482756
2011,3513,194,3319,0.05522345573583831
2012,3485,182,3303,0.052223816355810616
2013,3484,167,3317,0.04793340987370838
2014,3504,142,3362,0.04052511415525114
2015,3354,111,3243,0.03309481216457961
2016,3191,83,3108,0.026010654967094954
2017,3014,57,2957,0.01891174518911745
2018,2723,36,2687,0.013220712449504223
