feature,readable_name,status,mean,median,std,n_observations
X8,Market value,alive,3596.0151573521007,240.89525,19022.527429320988,73462
X8,Market value,failed,857.8130112068967,117.7994,3396.453789500357,5220
X6,Net income,alive,141.99472572214208,2.0715000000000003,1299.2595559214435,73462
X6,Net income,failed,-48.11233275862069,-3.327,592.0509181990549,5220
X11,Total long-term debt,alive,730.5169838147613,7.0925,3309.2239554423,73462
X11,Total long-term debt,failed,609.4300068965517,18.4385,2077.661308665914,5220
X1,Current assets,alive,914.5426150799051,102.91749999999999,4052.0478889337232,73462
X1,Current assets,failed,399.3393530651341,75.8715,1147.8372819893182,5220
X17,Total liabilities,alive,1809.5719736054014,80.7405,8257.442726416795,73462
X17,Total liabilities,failed,1266.8167480842912,97.035,4221.179587963206,5220
X15,Retained earnings,alive,582.0347096594157,-0.1725,6570.280016285677,73462
X15,Retained earnings,failed,-165.10726724137928,-25.506,1849.9434966912206,5220
