model,selection_rule,threshold,precision_failed,recall_failed,f1_failed,predicted_failed_share,n_predicted_failed
Gradient Boosting,maximize_f1,0.68,0.21180555555555555,0.22048192771084338,0.21605667060212513,0.06821950256612712,864
Gradient Boosting,recall_at_least_0.6,0.48,0.10862142552283398,0.6132530120481928,0.1845540246555475,0.36999605211212,4686
Gradient Boosting,recall_at_least_0.8,0.37,0.0900461437046803,0.8228915662650602,0.16232917409387998,0.5988945913936045,7585
Logistic Regression,maximize_f1,0.53,0.19040801717967074,0.3204819277108434,0.23888639425235744,0.11030398736675878,1397
Logistic Regression,recall_at_least_0.6,0.52,0.08817572830658982,0.6819277108433734,0.15615947027176164,0.5068298460323727,6419
Logistic Regression,recall_at_least_0.8,0.5,0.08171342102199977,0.8457831325301205,0.14902876552382974,0.6783260955388867,8591
Random Forest,maximize_f1,0.57,0.1870748299319728,0.26506024096385544,0.2193419740777667,0.09285432293722859,1176
Random Forest,recall_at_least_0.6,0.37,0.11496062992125984,0.6156626506024097,0.19374407582938388,0.35096723253059614,4445
Random Forest,recall_at_least_0.8,0.27,0.09997033521210323,0.8120481927710843,0.1780243000528262,0.5323332017370707,6742
